Date	Nasdaq		AA	AAPL	AET	ALTR	AMAT	AMD	AMGN	AOC	APA	APD	ASH	AT	AVY	AXP	AYE	BA	BAC	BAX	BBY	BC	BF-B	BLL	BMY	BNI	C	CAH	CAT	CCE	CCL	CEG	CFC	CLX	CMI	COP	COST	CSX	CVX	DD	DELL	DIS	DOV	DUK	ED	EDS	EIX	EK	EOG	EXC	F	FPL	FRX	GE	GM	GPS	GT	HD	HLT	HON	HPC	HPQ	HRB	HSY	HUM	IBM	INTC	IPG	JNJ	JPM	JWN	K	KBH	KMI	KO	KR	LEG	LEN	LLY	LM	LMT	LOW	LUV	MAS
1/3/1990	0.001510263		0.01373019	0.006872879	-0.004273511	0.02197891	-0.02247286	-0.0295588	0.02765153	-0.002617803	0.01555241	0	0	0.006276171	0	0.01071166	-0.00316623	0.02400375	0.007930256	0.02413176	0.1278334	-0.00822204	0.02336318	-0.02893162	0.01977652	0.02750665	0.01212136	0.01126772	0.00971825	-0.00824747	-0.01321023	-0.01810915	0	0	-0.009656423	-0.01902231	0.01668901	0	-0.01627817	0.000824742	0	0.001186944	-0.01746769	0.002663117	-0.01657766	0.004679466	-0.009077218	0	-0.005439723	0	0.004750603	-0.01372448	0.01151644	-0.002706362	-0.006009305	0.01176484	0.01333777	0.005899722	-0.009099244	0.003338901	-0.003372684	-0.01788043	-0.01018685	-0.006299233	-0.002466092	0.00873845	-0.02927038	0.01095301	0.003610112	0.03383781	0.01902404	-0.01291531	0.008888947	-0.01533772	-0.01355034	-0.007926065	-0.0076046	-0.00966191	0	0.01411788	-0.006108754	0	-0.01960847	0.009512557
1/4/1990	-0.001415717		0.001514005	0.003418807	0.002139038	0.02150621	-0.02298952	-0.01511364	0.01801851	-0.01452171	-0.05879374	-0.01263658	-0.006352589	0	0.01123607	-0.01071166	-0.003176286	-0.003853569	-0.02236515	-0.01983068	0	0	0.004008021	0.01167328	-0.006548812	0.01538492	-0.01212136	0	0.003861009	0	0.02105341	-0.01123034	0.01379332	-0.002898553	0.009656423	-0.02079077	0.01039871	-0.01112005	-0.01321605	-0.000824742	0	-0.001186944	0.004395611	-0.008010724	-0.01785762	-0.004679466	-0.01634357	0.008756172	-0.02578412	-0.01715962	0	-0.02415884	0.0076046	-0.005434796	-0.002743486	0.00583092	-0.01078349	0.00586512	-0.03346037	0.03117562	0.01564278	-0.01036279	-0.003418807	-0.007930256	-0.008679534	0.01135454	0.02927038	-0.004366819	0.001800181	0.003690041	0	-0.003720935	-0.03420676	0.004626068	-0.00547197	0	0	0	-0.0062361	0	-0.003683245	0	0.009852296	0.004722559
1/5/1990	-0.001135906		-0.009118604	0.003407158	-0.00643089	-0.02150621	0	-0.0309303	0.01769958	-0.02150621	-0.03159032	0.01263658	-0.02582177	-0.003133162	-0.03120821	-0.01082764	-0.008519753	-0.01360565	-0.02122529	-0.01440947	0	0	-0.01106095	0.005785937	-0.03068953	-0.03101024	0.006079046	0.01941809	-0.005797118	0.00824747	-0.007843177	-0.01552023	0.0402739	-0.01757	-0.00737592	-0.009852296	0.005159083	-0.0275321	-0.01451728	-0.008285052	0	0.003556613	-0.004395611	-0.01078178	-0.009049836	0	-0.02186448	-0.008756172	-0.01693361	0	-0.01432005	-0.01425818	0.007547206	-0.00820798	-0.01438874	-0.00583092	-0.01090104	-0.01176484	-0.02101319	0.01443489	0.00552793	-0.01310635	-0.006872879	-0.006389798	-0.003742986	-0.002691792	-0.00966191	0.006543099	-0.01085002	0.003676475	0	-0.003734832	-0.01662088	-0.009273637	-0.00826451	0.05420682	-0.01151644	0	-0.01078178	-0.01411788	0.0278975	0.01227009	-0.009852296	0.009378732
1/8/1990	0.000473655		0	0.006779687	0.004291852	0	-0.0235305	0	-0.00881063	-0.01920498	0.06062462	0.01022155	0.01299423	0	0	-0.007806441	-0.01183446	0.01167328	0.004938282	0.01010839	-0.08338161	-0.008290203	-0.01118466	0.01526747	0.00675222	-0.003944778	0.01204834	-0.01941809	-0.00583092	0.006141268	-0.00526317	-0.00732604	-0.05406722	0	0.002275314	0.02099447	-0.01817445	0.0114287	0.008958627	0.005806736	0	0.0082499	0.007315322	-0.00816331	-0.01834914	0.004679466	0.006295928	0.003099176	-0.01529667	0.005752652	0	-0.01844585	0	0.005479466	0.003338901	-0.01176484	-0.005819609	-0.0119049	0.05172756	0	0	0.01830116	0.01029169	-0.003210276	-0.008788506	0.006448169	0.00966191	0	0.01623119	0	-0.01902404	-0.003748833	0.007421184	0	0.0218887	-0.01519017	0.01532597	0	0	-0.009523882	-0.009615459	0.01212136	0.009852296	0.01505529
1/9/1990	-0.001802645		-0.009202519	-0.01018685	0.004273511	0.04255961	-0.02409755	0.01558473	-0.01785762	0.006901339	-0.03725127	-0.01022155	0	-0.01900796	-0.01159433	-0.02218791	0.002162163	-0.01167328	0	-0.004319661	0	-0.01784824	-0.02694464	0	-0.01628258	-0.003960401	-0.01204834	-0.01126772	-0.007827829	0.008130126	-0.01864235	-0.0190886	-0.01398624	-0.02694774	-0.01200357	-0.02099447	-0.008771986	-0.006514681	-0.006711435	0.004950505	0	0	-0.0102565	-0.0165293	-0.00826451	-0.002805051	-0.01900796	-0.0119327	-0.01749316	-0.009606222	-0.0169701	-0.01069529	0	-0.02210035	0.00554018	-0.03003229	-0.019647	-0.02424361	-0.001834863	-0.0209179	-0.00331309	-0.02359218	-0.006849342	-0.02606011	-0.00886643	-0.01022889	0.02843794	0.01295914	-0.03088347	-0.03168951	-0.05392496	-0.005649733	-0.06293783	-0.01092907	-0.008152219	-0.02322685	0.007575794	0	-0.01089929	-0.01932427	-0.006056954	-0.01212136	-0.04000533	0.004587164
1/10/1990	-0.005838537		0.001539646	-0.04419324	-0.02591938	0	0	-0.01558473	0	-0.002754823	0	0	-0.003232761	-0.02701407	-0.003894844	-0.00643089	0.003234504	0.003906255	-0.01990115	-0.02040887	-0.04445176	0	-0.0244563	0.007547206	0.01358717	-0.02004075	-0.01219527	-0.008534902	0.003921574	-0.01427139	-0.01353201	0.007466701	-0.04317217	-0.01992403	-0.007503643	-0.01568101	-0.02137214	-0.01481509	0	-0.00909473	0	-0.033416	0.0175187	0.002773927	0.01748116	-0.02272825	0.003193191	-0.005757671	-0.03593201	0.009606222	0.009732437	0.006697949	-0.02666825	0.002789402	-0.008879082	0.01212136	-0.01130707	0.006116227	-0.007373305	-0.009804	-0.005546326	-0.002656044	0	-0.003305788	-0.01667774	-0.003795071	-0.02843794	-0.004301082	-0.01487016	-0.005698021	-0.02185879	-0.01139613	-0.02794593	-0.004720701	-0.006844654	-0.007863736	-0.02290176	0	0	0.009708814	-0.008541846	0	-0.03109059	-0.009195467
1/11/1990	-0.001737953		0.003072199	-0.04250792	-0.002190581	0	0	0.01558473	-0.01818232	-0.01669023	0.008216973	0.01022155	0.01286881	0	0.003894844	0.01441178	0.003224076	-0.01439815	-0.008410479	0	0	0	0	-0.007547206	0.01207258	0.02400115	0.01219527	0	0	0	0.005434796	-0.003193191	0.02898754	0.01077763	0.007503643	0.0114287	-0.03853688	-0.003322262	0.001121705	0.0123815	0	0	-0.007262196	0.005524876	0	0.01615237	0.009518845	-0.006319136	0.01612938	-0.07337284	0.01203384	0.007978766	0.003853569	0	-0.002790959	0	0.002672012	0.006079046	0.0156038	-0.00658981	0	-0.002663117	0	0	0	0.00865338	0	0.01497354	0.01302344	-0.01149438	0	0.00381316	0.06466503	-0.01110241	0	0	0.007692346	0.03809985	-0.001828154	0	0.006108754	-0.03727139	-0.05406722	-0.004629638
1/12/1990	-0.00899314		-0.02327491	0	-0.02441853	-0.06453852	-0.02469261	-0.03407931	-0.01851905	-0.005625894	-0.02317985	-0.02865526	-0.00320171	-0.04136979	-0.02758796	-0.02250899	-0.008620743	-0.02064675	-0.02739897	-0.0314162	0	-0.02684004	-0.01737286	-0.0076046	-0.03390155	-0.01593659	-0.05608947	0.008534902	-0.01776947	-0.04837957	-0.02469261	-0.01612071	-0.02898754	-0.01698883	-0.01740183	-0.0317487	-0.05875546	-0.01677892	-0.03189336	-0.02072184	0	-0.02830958	-0.03561207	-0.03646968	-0.03632989	-0.01615237	-0.02666825	-0.02676819	-0.01005034	0	-0.02912827	-0.02277392	-0.003853569	-0.02538923	-0.04107822	-0.03058342	-0.01749708	-0.03704127	-0.03051554	-0.01834914	-0.03739813	-0.02429269	-0.05655217	-0.01501279	-0.009096879	-0.02012578	-0.01941809	-0.0192932	-0.03002102	-0.007736983	-0.01390843	-0.007640916	-0.01722531	-0.009615459	-0.03636764	-0.03208831	-0.02718614	-0.02843794	-0.02689082	-0.01951281	-0.02466216	-0.05195974	-0.0111733	-0.03062666
1/15/1990	-0.003072734		-0.01901801	-0.007472015	-0.004504512	0	0.02469261	-0.03528181	0.009302393	0.005625894	-0.008410479	-0.01759576	0.006393202	-0.03958608	-0.01712888	-0.003257332	-0.02188271	-0.0101455	-0.02995819	0	0	0.01832935	-0.00659343	-0.007662873	-0.01109581	-0.00402415	0	-0.05233753	-0.003992021	0.0255333	0	-0.01969429	-0.01481509	-0.001558847	-0.02069243	0.01600034	-0.01197619	-0.008496228	0.005770356	-0.005037794	0	0	-0.02137486	-0.01149438	0	-0.004800777	0.003237995	-0.01862047	0	0	-0.01239173	0.00809721	0	-0.008608375	-0.008774552	-0.01880933	-0.01160819	-0.0126584	-0.04317217	-0.003372684	-0.01278344	-0.008230499	-0.02205972	-0.01013522	-0.009180392	0.002743486	0.009756175	-0.02631731	-0.003816799	0	0	-0.003842464	-0.01949379	-0.03941397	-0.01724181	-0.02754995	-0.003944778	-0.00966191	-0.01134228	0	0	-0.02702867	0.02222314	0.005963047
1/16/1990	0.003566307		0.001598721	0.01857639	-0.01135086	0	0.02409755	0.0847067	0.02739897	0.009769792	0.01675081	0.01526747	0.003181339	-0.02647567	-0.004073325	-0.01644774	0.006615239	0.008124622	0.035153	0	0	0.00851069	-0.01220204	-0.005785937	0.008333382	0.0278348	-0.00643089	-0.008995563	-0.004008021	-0.008438869	0.00554018	0.01208142	-0.01503788	0	0.01541228	0	0.02674751	0.008496228	0.01824452	0.005037794	0	0.01855341	0	0.01149438	0.009468771	0.001923078	0.006444705	0.003311261	-0.006079046	0.006153866	0.04152001	0.01467671	-0.007751977	0.008608375	0.02952458	0.01257878	-0.006200502	0.0126584	0.01749316	0.02172182	0.01278344	0.02717559	0.03290973	0.006768215	-0.009265453	0.02007119	0.05661889	-0.01567781	0	-0.005842276	0.02898754	0.03219975	-0.009891277	-0.0101011	0.008658063	-0.01690181	0	-0.01960847	0.01883295	0	0.02100139	0.01360565	0.04301739	-0.01075922
